CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM02994	华山参片	Huashanshen Pian	Oral
CPM02995	华佗风痛宝胶囊	Huatuo Fengtongbao Jiaonang	Oral
CPM02996	华佗风痛宝片	Huatuo Fengtongbao Pian	Oral
CPM02997	华佗膏	Huatuo Gao	Topical
CPM02998	华佗延寿酒	Huatuo Yanshou Jiu	Oral
CPM02999	华佗再造丸	Huatuo Zaizao Wan	Oral
CPM03000	滑膜炎胶囊	Huamoyan Jiaonang	Oral
CPM03001	滑膜炎颗粒	Huamoyan Keli	Oral
CPM03002	滑膜炎片	Huamoyan Pian	Oral
CPM03003	化虫丸	Huachong Wan	Oral
CPM03004	化毒丹	Huadu Dan	Oral
CPM03005	化毒散	Huadu San	Oral
CPM03006	化毒丸	Huadu Wan	Oral
CPM03007	化风丹	Huafeng Dan	Oral
CPM03008	化核膏药	Huahe Gaoyao	Topical
CPM03009	化积颗粒	Huaji Keli	Oral
CPM03010	化积口服液	Huaji Koufuye	Oral
CPM03011	化积片	Huaji Pian	Oral
CPM03012	化积散	Huaji San	Oral
CPM03013	化湿败毒颗粒	Huashi Baidu Keli	Oral
CPM03014	化痰平喘片	Huatan Pingchuan Pian	Oral
CPM03015	化痰消咳片	Huatan Xiaoke Pian	Oral
CPM03016	化瘀祛斑胶囊	Huayu Quban Jiaonang	Oral
CPM03017	化瘀祛斑片	Huayu Quban Pian	Oral
CPM03018	化瘀散结灌肠液	Huayu Sanjie Guanchangye	Topical
CPM03019	化瘀舒经胶囊	Huayu Shujing Jiaonang	Oral
CPM03020	化瘀丸	Huayu Wan	Oral
CPM03021	化瘀镇痛胶囊	Huayu Zhentong Jiaonang	Oral
CPM03022	化瘀止痛栓	Huayu Zhitong Shuan	Topical
CPM03023	化癥回生口服液	Huazheng Huisheng Koufuye	Oral
CPM03024	化癥回生片	Huazheng Huisheng Pian	Oral
CPM03025	化痔胶囊	Huazhi Jiaonang	Oral
CPM03026	化痔灵片	Huazhiling Pian	Oral
CPM03027	化痔片	Huazhi pian	Oral
CPM03028	化痔栓	Huazhi Shuan	Topical
CPM03029	化滞柔肝颗粒	Huazhi Rougan Keli	Oral
CPM03030	化浊轻身颗粒	Huazhuo Qingshen Keli	Oral
CPM03031	槐角地榆丸	Huaijiao Diyu Wan	Oral
CPM03032	槐角丸	Huaijiao Wan	Oral
CPM03033	槐菊颗粒	Huaiju Keli	Oral
CPM03034	槐杞黄颗粒	Huaiqihuang Keli	Oral
CPM03035	獾油	Huan You	Topical
CPM03036	环心丹	Huanxin Dan	Oral
CPM03037	换骨丸	Huangu Wan	Oral
CPM03038	黄柏八味片	Huangbai Bawei Pian (Sharimaodu -8)	Oral
CPM03039	黄柏八味散	Huangbai Bawei San	Oral
CPM03040	黄柏果油软胶囊	Huangbaiguoyou Ruanjiaonang	Oral
CPM03041	黄柏胶囊	Huangbai Jiaonang	Oral
CPM03042	黄柏片	Huangbai Pian	Oral
CPM03043	黄丹胶囊	Huangdan Jiaonang	Oral
CPM03044	黄疸肝炎丸	Huangdan Ganyan Wan	Oral
CPM03045	黄疸茵陈冲剂	Huangdan Yinchen Chongji	Oral
CPM03046	黄疸茵陈颗粒	Huangdan Yinchen Keli	Oral
CPM03047	黄疸茵陈片	Huangdan Yinchen Pian	Oral
CPM03048	黄地养血口服液	Huangdi Yangxue Koufuye	Oral
CPM03049	黄地养阴颗粒	Huangdi Yangyin Keli	Oral
CPM03050	黄莪胶囊	Huang'e Jiaonang	Oral
CPM03051	黄根片	Huanggen Pian	Oral
CPM03052	黄公烧伤膏	Huanghong Shaoshang Gao	Topical
CPM03053	黄何口服液	Huanghe Koufuye	Oral
CPM03054	黄厚止泻滴丸	Huanghou Zhixie Diwan	Oral
CPM03055	黄花杜鹃滴丸	Huanghua Dujuan Diwan	Oral
CPM03056	黄花杜鹃油滴丸	Huanghuadujuan Youdiwan	Oral
CPM03057	黄花杜鹃油胶丸	Huanghua Dujuanyou Jiaowan	Oral
CPM03058	黄花油	Huanghua You	Topical
CPM03059	黄金波药酒	Huangjinbo Yaojiu	Oral
CPM03060	黄精丸	Huangjing Wan	Oral
CPM03061	黄精养阴糖浆	Huangjing Yangyin Tangjiang	Oral
CPM03062	黄精赞育胶囊	Huangjing Zanyu Jiaonang	Oral
CPM03063	黄苦洗液	Huangku Xiye	Topical
CPM03064	黄葵胶囊	Huangkui Jiaonang	Oral
CPM03065	黄连胶囊	Huanglian Jiaonang	Oral
CPM03066	黄连解毒丸	Huanglian Jiedu Wan	Oral
CPM03067	黄连清胃丸	Huanglian Qingwei Wan	Oral
CPM03068	黄连上清胶囊	Huanglian Shangqing Jiaonang	Oral
CPM03069	黄连上清颗粒	Huanglian Shangqing Keli	Oral
CPM03070	黄连上清片	Huanglian Shangqing Pian	Oral
CPM03071	黄连上清丸	Huanglian Shangqing Wan	Oral
CPM03072	黄连双清丸	Huanglian Shuangqing Wan	Oral
CPM03073	黄连羊肝片	Huanglian Yanggan Pian	Oral
CPM03074	黄龙咳喘胶囊	Huanglong Kechuan Jiaonang	Oral
CPM03075	黄龙咳喘片	Huanglong Kechuan Pian	Oral
CPM03076	黄龙止咳颗粒	Huanglong Zhike Keli	Oral
CPM03077	黄蒲洁肤洗剂	Huangpu Jiefu Xiji	Topical
CPM03078	黄芪建中丸	Huangqi Jianzhong Wan	Oral
CPM03079	黄芪健胃膏	Huangqi Jianwei Gao	Oral
CPM03080	黄芪精	Huangqi Jing	Oral
CPM03081	黄芪精颗粒	Huangqijing Keli	Oral
CPM03082	黄芪颗粒	Huangqi Keli	Oral
CPM03083	黄芪片	Huangqi Pian	Oral
CPM03084	黄芪三七口服液	Huangqi Sanqi Koufuye	Oral
CPM03085	黄芪生脉颗粒	Huangqi Shengmai Keli	Oral
CPM03086	黄芪生脉饮	Huangqi Shengmai Yin	Oral
CPM03087	黄芪注射液	Huangqi Zhusheye	Injection
CPM03088	黄芩胶囊	Huangqin Jiaonang	Oral
