CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05697	紫燕草		zi yan cao	Lobelia taliensis	Viridiplantae
CHP05698	紫阳花		zi yang hua	Hydrangea moellendorffii	Viridiplantae
CHP05699	紫叶秋海棠		zi ye qiu hai tang	Begonia rex	Viridiplantae
CHP05700	紫油木		zi you mu	Pistacia weinmaniifolia	Viridiplantae
CHP05701	紫油木皮		zi you mu pi	Pistacia weinmaniifolia	Viridiplantae
CHP05702	紫油木叶		zi you mu ye	Pistacia weinmaniifolia	Viridiplantae
CHP05703	紫柚木		zi you mu	Tectona grandis	Viridiplantae
CHP05704	紫玉盘	暗紫玉盘	zi yu pan	Uvaria macrophylla	Viridiplantae
CHP05705	紫玉簪		zi yu zan	Hosta ventricosa	Viridiplantae
CHP05706	紫玉簪根		zi yu zan gen	Hosta ventricosa	Viridiplantae
CHP05707	紫玉簪叶		zi yu zan ye	Hosta ventricosa	Viridiplantae
CHP05708	紫芋		zi yu	Colocasia tonoimo	Viridiplantae
CHP05709	紫云菜	紫云英马蓝	zi yun cai	Strobilanthes oligantha	Viridiplantae
CHP05710	紫云英	红花菜	zi yun ying	Chinese MiIkvetch	Viridiplantae
CHP05711	紫云英子		zi yun ying zi	Chinese Milkvetch Seed	Viridiplantae
CHP05712	紫珠	紫珠草	zi zhu	leaf of taiwan beautyberry	Viridiplantae
CHP05713	紫珠叶	紫珠草叶	zi zhu ye	Callicarpa formosana	Viridiplantae
CHP05714	自扣草		zi kou cao	Canton Buttercup	Viridiplantae
CHP05715	自来血		zi lai xue	Ophiorrhiza umbricola	Viridiplantae
CHP05716	自消容		zi xiao rong	Caulis et Folium Crotalaria assamicae	Viridiplantae
CHP05717	自消容根	马铃根	zi xiao rong gen	Radix Crotalaria assamicae	Viridiplantae
CHP05718	棕榈	棕榈炭	zong lv	Fortune Windmillpalm Petiole	Viridiplantae
CHP05719	棕榈根		zong lv gen	Trachycarpus fortunei	Viridiplantae
CHP05720	棕榈花		zong lv hua	Trachycarpus fortunei	Viridiplantae
CHP05721	棕榈皮	棕板	zong lv pi	Fortune Windmillpalm	Viridiplantae
CHP05722	棕榈叶		zong lv ye	Trachycarpus fortunei	Viridiplantae
